"id","±¯ÉË","·ßÅ­","¸Ð¼¤","½¹ÂÇ","¾ªÑÈ","¿Ö¾å","¿ìÀÖ","ÀÖ¹Û","ÀäÄ®","Æ½¾²","Ñá¶ñ","ÓÑÉÆ","Ô¹ºÞ"
1,NA,NA,NA,NA,NA,NA,NA,"6",NA,"7",NA,"5",NA
2,NA,NA,"5",NA,NA,NA,NA,NA,NA,"8",NA,"6",NA
3,"5",NA,"2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,"8",NA,NA,"7","8",NA,NA,NA,NA,NA,NA,NA
5,NA,NA,"10","8",NA,"6",NA,NA,NA,NA,NA,NA,NA
6,"3",NA,NA,"3",NA,NA,NA,NA,NA,NA,"2",NA,NA
7,NA,NA,NA,NA,NA,"1",NA,NA,NA,"3",NA,"3",NA
8,NA,NA,NA,NA,NA,NA,NA,NA,"6","6",NA,"3",NA
9,"2",NA,NA,NA,NA,"1",NA,"3",NA,NA,NA,NA,NA
10,NA,NA,"9",NA,NA,NA,NA,"9",NA,NA,NA,"8",NA
11,NA,NA,"6",NA,NA,NA,NA,"6",NA,NA,NA,"6",NA
12,NA,NA,"8",NA,NA,NA,NA,"7",NA,NA,NA,"6",NA
13,NA,NA,"4",NA,NA,NA,NA,NA,"5","5",NA,NA,NA
14,NA,"10",NA,NA,NA,"10",NA,NA,"10",NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,"8",NA,"8"
16,NA,"8",NA,"8",NA,NA,NA,NA,"6",NA,NA,NA,NA
17,NA,NA,NA,"5",NA,"7",NA,NA,"4",NA,NA,NA,NA
18,NA,NA,"5","8",NA,"9",NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,"3",NA,NA,NA,NA,"6",NA,NA,NA,"2"
20,NA,NA,NA,NA,NA,NA,NA,NA,"9","9",NA,"8",NA
21,NA,"4",NA,"8","5",NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,"4",NA,NA,NA,NA,"7",NA,"8",NA
23,NA,NA,"8",NA,NA,NA,NA,"5",NA,"6",NA,NA,NA
24,NA,NA,"10",NA,"6",NA,NA,NA,NA,NA,NA,"6",NA
25,NA,NA,NA,NA,NA,NA,NA,NA,"6","7",NA,"5",NA
26,"7",NA,NA,"9",NA,NA,NA,NA,NA,"9",NA,NA,NA
27,NA,NA,"5",NA,NA,NA,NA,NA,"4",NA,NA,"3",NA
28,NA,"1",NA,"2",NA,"3",NA,NA,NA,NA,NA,NA,NA
29,"3",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,"8",NA
30,NA,NA,"8",NA,NA,NA,NA,NA,NA,"5",NA,"6",NA
31,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA
32,NA,NA,"5",NA,NA,NA,NA,"5",NA,NA,NA,"5",NA
33,NA,NA,NA,NA,NA,NA,"8","6",NA,NA,NA,"10",NA
34,NA,NA,NA,NA,NA,NA,NA,NA,"10","5",NA,"2",NA
35,NA,NA,NA,NA,NA,NA,NA,"5",NA,"8",NA,"9",NA
36,NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,NA
37,NA,NA,NA,"5",NA,"4",NA,NA,"3",NA,NA,NA,NA
38,NA,NA,"6",NA,NA,NA,NA,NA,NA,"4","5",NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","5","8",NA
40,NA,NA,NA,"9",NA,"6",NA,NA,NA,"8",NA,NA,NA
41,NA,NA,NA,"7",NA,"12",NA,NA,NA,"1",NA,NA,NA
42,NA,NA,"7",NA,NA,NA,NA,NA,NA,"9",NA,"8",NA
43,NA,NA,"1",NA,NA,NA,NA,NA,NA,"3",NA,"3",NA
44,NA,NA,NA,"5","2",NA,NA,NA,NA,NA,NA,"6",NA
45,NA,"4",NA,NA,"4",NA,NA,NA,"4",NA,NA,NA,NA
46,NA,NA,"7","8",NA,NA,NA,NA,NA,"5",NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,"3"
48,"8",NA,NA,NA,"7",NA,NA,NA,"8",NA,NA,NA,NA
49,NA,NA,NA,"2","1",NA,NA,NA,NA,"3",NA,NA,NA
50,NA,NA,"8",NA,NA,NA,NA,"5",NA,NA,NA,"8",NA
51,NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,NA,NA
52,NA,NA,"7","8",NA,NA,NA,NA,NA,NA,NA,"6",NA
53,"8",NA,NA,"8",NA,NA,NA,NA,NA,"5",NA,NA,NA
54,NA,NA,NA,NA,NA,"4",NA,NA,"5",NA,"5",NA,NA
55,NA,NA,NA,"4",NA,NA,NA,NA,"8",NA,NA,"6",NA
56,NA,NA,NA,NA,NA,NA,NA,"7",NA,"8",NA,"5",NA
57,NA,"8",NA,"7",NA,NA,NA,NA,"8",NA,NA,NA,NA
58,NA,NA,"3",NA,NA,NA,NA,"3",NA,NA,NA,"6",NA
59,NA,NA,"2","5",NA,NA,NA,NA,NA,"3",NA,NA,NA
60,NA,"3",NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA
61,NA,"6",NA,NA,NA,NA,NA,NA,"8",NA,NA,"8",NA
62,"6",NA,NA,"7",NA,"5",NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,"5",NA,"5",NA,"7",NA
64,NA,NA,NA,NA,NA,NA,NA,"8",NA,"10",NA,"10",NA
65,NA,"6",NA,"7",NA,NA,NA,NA,"5",NA,NA,NA,NA
66,NA,NA,NA,"9",NA,NA,NA,NA,NA,"9",NA,"5",NA
67,NA,NA,NA,"5",NA,NA,NA,"6",NA,"7",NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
